"Nombre","Especie","Familia","Orden","Clase","Habitat","Dieta","Gestacion","Numero de crias","Vida"
"Alcaraván del Cabo","Burhinus capensis","Burhinidae","Charadriiformes","Aves","SABANA AFRICANA","Omnívora a base de semillas, insectos, pequeños mamíferos y pequeños reptiles, cangrejos e incluso ranas.","26-27 días.","1-3","Alrededor de 15 años."
"Antílope acuático","Kobus ellipsiprymnus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","El kobo es una animal muy dependiente del agua, se alimenta de una gran variedad de herbáceas de diferentes medidas de longitud. Su dieta es muy rica en proteínas.","Alrededor de 270-285 días.","1","18 años."
"Ave martillo","Scopus umbretta","Scopidae","Pelicaniformes o Ciconiiformes","Aves","SABANA AFRICANA","Consiste principalmente en anfibios (especialmente Xenopus spp.) y pequeños peces, así como crustáceos, gusanos e insectos.","28-30 días.","3-7 huevos.","Sin determinar."
"Avestruz","Struthio camelus","Struthionidae","Struthioniformes","Aves","SABANA AFRICANA","Se alimenta principalmente de hierbas, tallos duros, semillas, flores y frutos, ocasionalmente también de carroña, insectos y pequeños vertebrados. Engulle piedras y otras sustancias duras para ayudar a la digestión.","42-45 días.","15","30-40 años."
"Blesbok","Damaliscus pygargus phillipsi","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Herbívora a base principalmente de gramíneas del género Themeda (en varias fases de crecimiento) y también de los géneros Eragrostis y Chloromelas.","Alrededor de 240 días.","1","23 años."
"Cebra de Grant","Equus burchelli boehmi","Equidae","Perissodactyla","Mammalia","SABANA AFRICANA","Pasto de baja calidad, tallos duros y, en ocasiones, hojas o cortezas de árboles y arbustos, requieren de una gran cantidad de alimento por lo que no es raro que pasen en torno a 20 horas al día pastando.","360-370 días.","1","38-40 años."
"Cerceta del Cabo","Anas capensis","Anatidae","Anseriformes","Aves","SABANA AFRICANA","Omnívora, se alimenta de tallos, hojas y semillas de plantas acuáticas, así como de insectos acuáticos, crustáceos y renacuajos.","25 días.","5-11","20-26 años."
"Cigüeña de Abdim","Ciconia abdimii","Ciconiidae","Ciconiiformes","Aves","SABANA AFRICANA","Grandes insectos, principalmente langostas y orugas, ocasionalmente también se alimenta de pequeños reptiles, anfibios, ratones, cangrejos y huevos.","30-33 días.","2-3 huevos.","20 años."
"Damán roquero","Procavia capensis","Procaviidae","Hyracoidea","Mammalia","SABANA AFRICANA","Incluye una gran variedad de hierbas y arbustos, prefieren los brotes, capullos, frutas y bayas, ocasionalmente también se alimentan de corteza de árbol.","De 212 a 240 días.","1-6","Alrededor de 12 años."
"Dik-dik de Kirk","Madoqua kirkii","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Herbívora, a base de materia vegetal fácilmente digerible y con poca cantidad de fibra. El 80% de su dieta consiste en hojas de árboles y arbustos, el 17% procede de pastos, y el resto de hierbas y juncos.","Alrededor de 170 días.","1","17 años."
"Elefante africano de sabana","Loxodonta africana","Elephantidae","Proboscidea","Mammalia","SABANA AFRICANA","Herbívoros generalistas, se alimentan de una gran variedad de hierbas y material herbáceo que incluye raíces, hojas, frutos, ramas, cortezas y semillas.","640-660 días.","1","50-70 años."
"Estornino púrpura","Lamprotornis purpureus","Sturnidae","Passeriformes","Aves","SABANA AFRICANA","Se alimenta principalmente de frutas e insectos.","15 días.","2-3","13-17 años."
"Estornino real","Cosmopsarus regius","Sturnidae","Passeriformes","Aves","SABANA AFRICANA","Se alimenta principalmente de insectos, complementa su dieta con frutas.","11-14 días.","3-5","12-14 años."
"Estornino soberbio","Lamprotornis superbus","Sturnidae","Passeriformes","Aves","SABANA AFRICANA","Se alimentan de termitas, saltamontes y otros insectos que encuentran por el suelo, así como de pequeñas bayas que recolectan.","12 días.","3-4","17 años."
"Facoquero","Phacochoerus africanus","Suidae","Artiodactyla","Mammalia","SABANA AFRICANA","Dieta omnívora compuesta de hierbas, raíces, bayas, corteza y ocasionalmente de hongos, huevos y carroña, así como pequeños mamíferos, reptiles y aves. El alimento ingerido varía estacionalmente en función de la disponibilidad, este oportunismo y la versatilidad de la dieta constituyen una excelente estrategia que garantiza su supervivencia.","170-175 días.","1-7","7-11 años."
"Gacela Mhorr","Nanger dama mhorr","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Animal pastador, se alimenta principalmente de hojas de acacias, de duros y ásperos pastos, de matorrales y de granos de mijo.","Entre 174-202 días.","1","12 años en la naturaleza y hasta 19 en cautividad."
"Gacela de Thomson","Eudorcas thomsonii","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Herbívora a base principalmente de pastos de pequeño tamaño, también se alimentan de ramitas, semillas y hojas de árboles, especialmente durante la estación seca.","Alrededor de 180 días.","1","10 años."
"Grulla coronada cuelligrís","Balearica regulorum","Gruidae","Gruiformes","Aves","SABANA AFRICANA","Son omnívoros generalistas y se alimentan de insectos, de pequeños animales como lagartos y gusanos y de semillas.","28-31 días.","2-4","22 años en la naturaleza y 25 en cautividad."
"Hiena manchada","Crocuta crocuta","Hyaenidae
 Hyaeninae","Carnivora","Mammalia","SABANA AFRICANA","Diferentes especies de antílopes, cebras, búfalos, ñus, zorros, leones jóvenes y en ocasiones carroña.","117 días.","1-4, siendo la media 2.","12 años."
"Ibis sagrado","Threskiornis aethiopicus","Threskiornithidae","Ciconiiformes","Aves","SABANA AFRICANA","Se alimentan principalmente de insectos, arácnidos, anélidos, crustáceos y moluscos. En ocasiones se alimentan de ranas, reptiles, peces, pequeños pájaros y huevos.","21-29 días.","1-5","20 años."
"Impala","Aepyceros melampus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Pasta casi exclusivamente durante la estación lluviosa, cuando llega la estación seca el porcentaje de gramíneas disminuye hasta un 30% de su dieta y ramonea arbustos, herbáceas, vainas y semillas.","Alrededor de 195-200 días.","1","13 años en la naturaleza y hasta 17 en cautividad."
"Jabirú africano","Ephippiorhynchus senegalensis","Ciconiidae","Ciconiiformes","Aves","SABANA AFRICANA","Su dieta consiste principalmente en peces de 15-30 cm de longitud y de más de 500 g de peso, así como crustáceos, ranas, reptiles, pequeños mamíferos, moluscos e insectos.","30-35 días.","1-5","12 años en la naturaleza y 19 en cautividad."
"Jirafa Baringo","Giraffa camelopardalis rothschildi
Giraffa camelopardalis","Giraffidae","Artiodactyla","Mammalia","SABANA AFRICANA","Hojas, ramas y flores principalmente de diferentes especies de acacia.","Alrededor de 450 días.","1","De 10-15 años en la naturaleza y de 20-27 en cautividad."
"León africano","Panthera leo bleyenberghi
Panthera leo","Felidae
 Pantherinae","Carnivora","Mammalia","SABANA AFRICANA","Carnívoros generalistas, aunque los ungulados de mediano y gran tamaño ocupan la mayor parte de su dieta, pueden alimentarse de una gran variedad de vertebrados, desde pequeños ratones hasta jóvenes rinocerontes, hipopótamos y elefantes, pasando por pájaros, reptiles, peces e incluso insectos.","92-119 días.","1-4","12 años en la naturaleza, hasta 25 años en cautividad."
"Mangosta enana","Helogale parvula undulata","Herpestidae
 Mungotinae","Carnivora","Mammalia","SABANA AFRICANA","Predominantemente insectívora, especialmente a base de termitas y escarabajos, pero también ciempiés, larvas de escarabajo y ocasionalmente pequeños vertebrados (pequeños mamíferos, geckos, serpientes y pájaros).","55 días.","1-6","13 años en la naturaleza y hasta 18 años en cautividad."
"Mangosta rayada","Mungos mungo","Herpestidae
 Mungotinae","Carnivora","Mammalia","SABANA AFRICANA","Predominantemente insectívora, especialmente a base de escarabajos y larvas de ciempiés, y ocasionalmente pequeños vertebrados (incluyendo huevos, ratones, ratas, ranas, lagartos y serpientes).","60 días.","1-4","17 años."
"Marabú africano","Leptoptilos crumeniferus","Ciconiidae","Ciconiiformes","Aves","SABANA AFRICANA","Se alimentan principalmente de carroña y restos de peces desechados por los humanos, secundariamente también se alimentan de presas vivas, como peces, termitas, langostas, ranas, lagartos y serpientes, ratas y ratones y aves.","30 días.","2-3 huevos.","25 años en la naturaleza y hasta 44 en cautividad."
"Oricteropo","Orycteropus afer","Orycteropodidae","Tubulidentata","Mammalia","SABANA AFRICANA","Hormigas, termitas y ocasionalmente larvas de insectos (principalmente escarabajos).","243 días.","1 y rara vez 2.","18 años."
"Paloma de Guinea","Columba guinea","Columbidae","Columbiformes","Aves","SABANA AFRICANA","Se alimenta de semillas y pequeños frutos que recolecta del suelo.","15-16 días.","2","10-15 años."
"Pintada moñuda","Guttera pucherani pucherani","Numididae","Galliformes","Aves","SABANA AFRICANA","Omnívora a base de granos, semillas, bulbos, raíces, frutos, insectos, pequeños invertebrados e incluso pequeños reptiles.","28 días.","4-10","12 años."
"Pitón real","Python regius","Boidae","Squamata","Reptilia","SABANA AFRICANA","Se alimenta principalmente de roedores, también pequeños conejos y ocasionalmente de aves y reptiles.","44-54 días.","4-12","15-30 años en la naturaleza y por encima de 40 en cautividad."
"Pitón de Seba","Python sebae","Boidae","Squamata","Reptilia","SABANA AFRICANA","Se alimentan principalmente de vertebrados terrestres. Los individuos jóvenes, se alimentan de pequeños mamíferos, especialmente ratas. Una vez son adultos, se alimentarán de presas de mayor tamaño, como primates, cocodrilos, lagartos grandes, y antílopes","65-80 días.","20-50","20-30 años."
"Puercoespín sudafricano","Hystrix africaeaustralis","Hystricidae","Rodentia","Mammalia","SABANA AFRICANA","Raíces, bulbos, tubérculos y corteza de árboles. Ocasionalmente carroña o esqueletos viejos, que roen en busca de sales minerales.","Alrededor de 94 días.","1-4","Hasta 15 años en la naturaleza y hasta 23 en cautividad."
"Rata gambiana","Cricetomys gambianus","Nesomyidae","Rodentia","Mammalia","SABANA AFRICANA","Son omnívoras, se alimentan de una gran variedad de frutas, vegetales, nueces, raíces, tubérculos, e incluso termitas o caracoles.","30-32 días.","1-5","5-7 años."
"Rata topo desnuda","Heterocephalus glaber","Bathyergidae","Rodentia","Mammalia","SABANA AFRICANA","Se alimentan de raíces, bulbos y tubérculos, que son accesibles bajo tierra. En ocasiones viajan grandes distancias para encontrar sus alimentos preferidos, suelen dejar partes de la planta intactas para que continúen creciendo y puedan volver en futuras ocasiones. Una vez encontrada la comida vuelven al nido, donde la almacenan.","70 días.","7","25-30 años."
"Ratón espinoso","Acomys cahirinus","Muridae","Rodentia","Mammalia","SABANA AFRICANA","Omnívoros y oportunistas, se alimentan de semillas, frutas, plantas secas, arañas, pequeños insectos e incluso caracoles. En poblaciones que viven cerca de los humanos, se alimentan también de grano y comida almacenada.","35-42 días.","1-5","4 años."
"Ratón pigmeo africano","Mus minutoides","Muridae","Rodentia","Mammalia","SABANA AFRICANA","Omnívoros y oportunistas, se alimentan de semillas, frutas, plantas secas, arañas y pequeños insectos. En poblaciones que viven cerca de los humanos, se alimentan también de grano y comida almacenada.","20 días.","1-6","2 años."
"Rinoceronte blanco sureño","Ceratotherium simum simum","Rhinocerotidae
 Dicerotinae","Perissodactyla","Mammalia","SABANA AFRICANA","Pastizales, prefiriendo especies herbáceas de poca altura.","480 días.","1","40-45 años."
"Saltarrocas","Oreotragus oreotragus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Ramonea hierbas y follaje a baja altura, las gramíneas constituyen un parte importante de su dieta durante la estación lluviosa.","Alrededor de 210-225 días.","1","12-15 años."
"Suricata","Suricata suricatta","Herpestidae
 Mungotinae","Carnivora","Mammalia","SABANA AFRICANA","Insectívora, especialmente escarabajos, arácnidos y larvas de ciempiés, ocasionalmente también se alimentan de pequeños vertebrados (incluyendo lagartos y pequeñas serpientes), huevos y fruta.","70-80 días.","3","10 años."
"Turaco cariblanco","Tauraco leucotis","Musophagidae","Cuculiformes","Aves","SABANA AFRICANA","Se alimentan principalmente de fruta, aunque complementan su dieta con insectos.","22-23 días.","2","10-12 años."
"Boa de Duméril","Acrantophis dumerili","Boidae","Squamata","Reptilia","BOSQUE ECUATORIAL","Se alimenta de vertebrados terrestres silvestres y aves domésticas.","6 – 8 meses.","De 6 a 13 crías.","No encontrado."
"Bongo oriental","Tragelaphus eurycerus isaaci","Bovidae
 Bovinae","Artiodactyla","Mammalia","BOSQUE ECUATORIAL","Ramoneador estricto, el bongo se alimenta principalmente de hojas y brotes de arbustos y de plantas trepadoras, aunque también busca la madera, corteza y frutas podridas.","285 días.","1","18 años en cautividad."
"Búfalo rojo","Syncerus caffer nanus","Bovidae
 Bovinae","Artiodactyla","Mammalia","BOSQUE ECUATORIAL","Hierba, ramitas y brotes tiernos.","300 días.","1","18-20 años en la naturaleza, hasta 28 en cautividad."
"Camaleón pantera","Furcifer pardalis","Chamaeleonidae","Squamata","Reptilia","BOSQUE ECUATORIAL","Invertebrados terrestes, pocas veces materia vegetal.","3-6 semanas.","10-46 huevos","Cautividad 5-6 años, libertad 1-3 años."
"Cercopiteco de Brazza","Cercopithecus neglectus","Cercopithecidae","Primates","Mammalia","BOSQUE ECUATORIAL","Aunque es omnívoro, el 50-75% de su dieta son frutos y semillas, compensa los déficits con hojas y flores y también puede alimentarse de hongos, escarabajos, termitas y gusanos.","168 días.","1","22 años en la naturaleza y hasta 30 años en cautividad."
"Chimpancé","Pan troglodytes","Hominidae","Primates","Mammalia","BOSQUE ECUATORIAL","Es omnívoro, alimentándose principalmente de frutas (la mitad de su dieta), hojas, cortezas y tallos. También se nutre de termitas y otros insectos, aves, huevos y pollos, y ocasionalmente pequeños mamíferos (entre ellos otros primates).","240 días.","1","40-60 años."
"Cocodrilo enano","Osteolaemus tetraspis","Crocodylidae","Crocodylia","Reptilia","BOSQUE ECUATORIAL","Se alimenta principalmente de peces, cangrejos y anfibios.","100 días.","11-20","70 años."
"Cucaracha silbadora","Gromphadorhina portentosa","Blaberidae","Blattodea","Insecta","BOSQUE ECUATORIAL","Son detritívoros, se alimentan generalmente de restos de materia vegetal, incluida la fruta caída debido a su fácil disponibilidad, también se alimentan de insectos más pequeños y de cuerpos y restos de otros animales.","60-70 días.","15-40","2-5 años."
"Dril","Mandrillus leucophaeus","Cercopithecidae","Primates","Mammalia","BOSQUE ECUATORIAL","Omnívoro, raíces, tubérculos, frutas, brotes y otras materias vegetales son complementados con caracoles, gusanos, insectos, ranas, lagartijas, culebras, ratones y otros pequeños mamíferos.","179-182 días.","1","Se estima que supera los 28 años."
"Duiker rojo de Natal","Cephalophus natalensis","Bovidae
 Antilopinae","Artiodactyla","Mammalia","BOSQUE ECUATORIAL","Hojas, frutos y flores de diferentes especies ribereñas de árboles, arbustos y hierbas.","210 días.","1","Hasta 15 años en cautividad."
"Escorpión emperador","Pandinus imperator","Scorpionidae","Scorpiones","Arachnida","BOSQUE ECUATORIAL","Insectos y otros artrópodos, y en ocasiones pequeños vertebrados. Generalmente se alimenta de termitas.","Ovovivíparo.","10-12","5-8 años en cautividad, mucho menos en la naturaleza."
"Ganso del Nilo","Alopochen aegyptiacus","Anatidae","Anseriformes","Aves","BOSQUE ECUATORIAL","Principalmente herbívora a base de brotes de hierbas, granos de cultivos y hojas tiernas, complementan su dieta con una amplia variedad de pequeños insectos, gusanos terrestres y ranas.","28-30 días.","5-12.","Hasta 14 años en cautividad."
"Gecko de Madagascar","Phelsuma madagascariensis","Gekkonidae","Squamata","Reptilia","BOSQUE ECUATORIAL","Se alimenta principalmente de una amplia variedad de artrópodos, aunque ocasionalmente también se alimenta de frutos y néctar. Su principal fuente de agua es la se forma por condensación sobre las hojas.","47-82 días.","2","15 años."
"Gorila occidental de costa","Gorilla gorilla gorilla","Hominidae","Primates","Mammalia","BOSQUE ECUATORIAL","Un porcentaje muy alto en su dieta es vegetariana, ingiriendo una gran cantidad de plantas herbáceas, fruta, matorrales, plantas trepadoras y savia. También se alimentan de termitas, pero en un porcentaje más bajo en comparación con los vegetales.","260 días.","1","Alrededor de 50 años."
"Grulla coronada cuellinegra","Balearica pavonina","Gruidae","Gruiformes","Aves","BOSQUE ECUATORIAL","Son omnívoros generalistas, se alimentan principalmente de granos de cosechas, también pueden alimentarse de pequeñas plantas, de pequeños invertebrados, como insectos, moluscos, milpiés o crustáceos, y de pequeños vertebrados, como peces, anfibios o reptiles.","28-31 días.","2-5","20-25 años."
"Hipopótamo pigmeo","Choeropsis liberiensis","Hippopotamidae","Artiodactyla","Mammalia","BOSQUE ECUATORIAL","Hojas, plantas acuáticas, frutos caídos, raíces y tubérculos. Usa sus gruesos labios llevarse la comida a la boca.","196-201 días.","1","Hasta 55 años en cautividad."
"Leopardo","Panthera pardus
Panthera pardus kotiya","Felidae
 Pantherinae","Carnivora","Mammalia","BOSQUE ECUATORIAL","Generalmente cazan ungulados de tamaño medio, como antílopes, gacelas, ciervos, cerdos o ganado y también primates. Como buenos carnívoros oportunistas que son, se alimentan además de aves, reptiles, roedores o artrópodos. Prefieren presas de entre 10-40 kg. Se ha observado también como sustraen comida a otros animales, como guepardos, hienas solitarias y otros pequeños carnívoros.","97 días.","2-3","10-12 años en la naturaleza, hasta 20-22 en cautividad."
"Mangabey de coronilla blanca","Cercocebus atys lunulatus","Cercopithecidae","Primates","Mammalia","BOSQUE ECUATORIAL","Los frutos, incluidos carne y cáscaras de frutos muy duros, son sus alimentos básicos. También se alimentan de semillas, hojas y pequeños animales invertebrados.","163-167 días.","1","18 años en la naturaleza y 27 años en cautividad."
"Nutria de cuello moteado","Hydrictis maculicollis","Mustelidae
 Lutrinae","Carnivora","Mammalia","BOSQUE ECUATORIAL","Peces (Barbus, Clarias, Haplochromis, Micropterus salmoides, Salmo trutta y Tilapia), cangrejos (Potomonautes) y ranas (Xenopus laevis y Rana). En primavera, verano y otoño se alimenta principalmente de cangrejos mientras que en invierno predomina la ingesta de peces. Ocasionalmente también se alimenta de insectos y pájaros.","60 días.","2-3","22 años."
"Pato negro","Anas sparsa","Anatidae","Anseriformes","Aves","BOSQUE ECUATORIAL","Omnívora a base de algas y otras plantas acuáticas, vegetación agrícola, frutas de plantas terrestres que cuelgan sobre el agua, moras y otras bayas, frutos caídos, insectos acuáticos y sus larvas, crustáceos, larvas de anfibios y huevos de peces.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Potamoquero rojo","Potamochoerus porcus pictus","Suidae","Artiodactyla","Mammalia","BOSQUE ECUATORIAL","Omnívoro generalista, con marcada preferencia por raíces y tubérculos, también incluye en su dieta frutos, hierbas, plantas acuáticas, bulbos, insectos, huevos de aves, carroña.","120-130 días.","1-4 (rara vez 6).","12-15 años."
"Sitatunga occidental","Tragelaphus spekiigratus","Bovidae
 Bovinae","Artiodactyla","Mammalia","BOSQUE ECUATORIAL","Cañas, plantas acuáticas y hierbas, ocasionalmente ramonea.","247 días.","1","19 años."
"Talapoín norteño","Miophitecus ogouensis","Cercopithecidae","Primates","Mammalia","BOSQUE ECUATORIAL","Los frutos constituyen casi el 80% de su dienta, aunque también se alimenta de hojas, semillas e invertebrados.","158-166 días.","1","28 años."
"Tortuga leopardo","Geochelone pardalis","Testudinidae","Testudines","Reptilia","BOSQUE ECUATORIAL","Estrictamente herbívora, se alimentan generalmente de plantas suculentas, cardos y hierba.","140-180 días.","5-30","100 años."
"Cocodrilo del Nilo","Crocodylus niloticus","Crocodylidae","Crocodylia","Reptilia","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Cuando son pequeños se alimentan de pequeños invertebrados acuáticos e insectos. En la edad adulta, sus presas son principalmente grandes vertebrados, como antílopes, búfalos, cebras, ñus, etc. Los peces y los pequeños vertebrados también son parte importante de su dieta.","80-90 días.","40-60 huevos.","45 años."
"Espátula africana","Platalea alba","Threskiornithidae","Ciconiiformes","Aves","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Carnívora a base de pequeños peces, ranas e invertebrados acuáticos.","26-29 días.","2 – 4","25-30 años."
"Hipopótamo común","Hippopotamus amphibius","Hippopotamidae","Artiodactyla","Mammalia","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Florívoro, aunque principalmente pastan en las riberas de los ríos, han sido vistos alimentándose de vegetación acuática y ocasionalmente de carroña y pequeños animales en respuesta a sus restricciones nutricionales. Usa sus finos labios para llevarse la comida a la boca.","227-240 días.","1","40-50 años."
"Mantela dorada","Mantella aurantiaca","Mantellidae","Anura","Anfibios","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Insectívora a base de termitas, hormigas, moscas de la fruta y también cualquier otro artrópodo que quepa en su boca.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Pelícano rosado","Pelecanus rufescens","Pelecanidae","Pelecaniformes","Aves","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Se alimentan de peces que capturan frecuentemente en grupo, prefieren peces cíclidos, especialmente Haplochromis y Tilapia.","30 días.","2 – 4","10-20 años en la naturaleza y hasta 30 en cautividad."
"Rana veneno azul","Dendrobates azureus","Dendrobatidae","Anura","Anfibios","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Principalmente a base de hormigas, termitas y otros pequeños insectos, así como pequeñas arañas.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Rana veneno fantasma","Epipedobates tricolor","Dendrobatidae","Anura","Anfibios","HUMEDALES AFRICANOS: LA CUEVA DE KITUM","Insectívora a base de pequeños insectos.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Flamenco común","Phoenicopterus roseus","Phoenicopteridae","Phoenicopteriformes","Aves","ISLA DE MADAGASCAR","Viven preferentemente en zonas lacustres poco profundas, muy salinas y alcalinas, casi siempre cercanas a la costa. También se los ha observado en lagunas y lagos volcánicos.","No son selectivos en su dieta, se alimentan de cualquier cosa que es capturada en el proceso de filtración; bacterias y microorganismos, gusanos, nematodos, moluscos, crustáceos, insectos y larvas, e incluso vertebrados como pequeños peces y materia vegetal.","30-32 días.","1"
"Fosa","Cryptoprocta ferox","Eupleridae
 Euplerinae","Carnivora","Mammalia","ISLA DE MADAGASCAR","Principal depredador de Madagascar, se alimenta de pequeños mamíferos, aves, reptiles, anfibios e insectos. Los lémures constituyen más de la mitad de su dieta.","90 días.","2-4","20 años."
"Lémur de cola anillada","Lemur catta","Lemuridae","Primates","Mammalia","ISLA DE MADAGASCAR","Frutas, hojas, flores, hierbas y, ocasionalmente, insectos.","120-135 días.","1 individuo o gemelos.","Alrededor de 27 años en la naturaleza y 30 en cautividad."
"Lémur frentirrojo","Eulemur rufus","Lemuridae","Primates","Mammalia","ISLA DE MADAGASCAR","Altamente frugívoros, las frutas constituyen más del 50% de su dieta. También se alimenta de hojas, flores, y ocasionalmente de insectos y otros artrópodos.","120 días.","1","En la naturaleza desconocida, en cautividad hasta 35 años."
"Lémur mangosta","Eulemur mongoz","Lemuridae","Primates","Mammalia","ISLA DE MADAGASCAR","Se alimentan principalmente de frutos, hojas, flores y néctar.","128 días.","1","En la naturaleza desconocida, en cautividad hasta 30 años."
"Lémur de vientre rojo","Eulemur rubriventer","Lemuridae","Primates","Mammalia","ISLA DE MADAGASCAR","Fruta, flores, néctar, hojas y ocasionalmente insectos.","127-130 días.","1","20-25 años."
"Pelícano común","Pelecanus onocrotalus","Pelecanidae","Pelecaniformes","Aves","ISLA DE MADAGASCAR","Se alimentan casi exclusivamente de peces, en África prefieren cíclidos, el 90% son peces grandes, el 10% restante es a base de una abundante cantidad de peces pequeños, y en las poblaciones del suroeste de África se alimentan también de huevos y polluelos de cormorán del cabo (Phalacrocorax capensis).","29-36 días.","2","Hasta 51 años en cautividad."
"Vari blanquinegro","Varecia variegata variegata","Lemuridae","Primates","Mammalia","ISLA DE MADAGASCAR","Es el lémur más frugívoro que existe, siendo su dieta principalmente a base de frutas, aún así también se alimenta de hojas, néctar y semillas en función de la estación.","90-102 días.","2-6","19 años en la naturaleza, hasta 28-32 años en cautividad."
"Vari rojo","Varecia rubra","Lemuridae","Primates","Mammalia","ISLA DE MADAGASCAR","Se alimentan principalmente de fruta, néctar y polen. Durante la estación seca, cuando la comida escasea, se alimentan también de hojas, flores y semillas.","90-102 días.","3","18-20 años en naturaleza, hasta 25 años en cautividad."
